No.,Ticker,IPO Date
541,ALMS,6/28/2024
542,LB,6/28/2024
543,LSH,6/28/2024
544,TBN,6/27/2024
545,WBTN,6/27/2024
546,CCIX,6/21/2024
547,RECT,6/21/2024
548,SPMC,6/14/2024
549,TEM,6/14/2024
550,GRAL,6/12/2024
551,PCSC,6/12/2024
552,RAPP,6/7/2024
553,WAY,6/7/2024
554,FLYE,6/6/2024
555,GAUZ,6/6/2024
556,LIF,6/6/2024
557,NAKA,5/31/2024
558,INBX,5/29/2024
559,BOW,5/23/2024
560,KBDC,5/22/2024
561,HDL,5/17/2024
562,JDZG,5/15/2024
563,RAY,5/15/2024
564,BTOC,5/14/2024
565,MKZR,5/14/2024
566,BKHA,5/13/2024
567,ZK,5/10/2024
568,PAL,5/9/2024
569,SVCO,5/9/2024
570,NNE,5/8/2024
571,IBAC,5/1/2024
572,VIK,5/1/2024
573,ZONE,4/26/2024
574,LOAR,4/25/2024
575,MRX,4/25/2024
576,RBRK,4/25/2024
577,NCI,4/23/2024
578,MFI,4/22/2024
579,YYGH,4/22/2024
580,TRSG,4/19/2024
581,CDTG,4/18/2024
582,CTRI,4/18/2024
583,IBTA,4/18/2024
584,MTEN,4/18/2024
585,SUPX,4/17/2024
586,TWG,4/16/2024
587,ULS,4/12/2024
588,PACS,4/11/2024
589,MNDR,4/10/2024
590,CTNM,4/5/2024
591,ZOOZ,4/5/2024
592,MAMO,4/2/2024
593,ZBAO,4/2/2024
594,BOLD,3/28/2024
595,LEGT,3/28/2024
596,MMA,3/28/2024
597,UBXG,3/28/2024
598,GEV,3/27/2024
599,DXYZ,3/26/2024
600,SOLV,3/26/2024
601,AUNA,3/22/2024
602,LOBO,3/21/2024
603,RDDT,3/21/2024
604,ALAB,3/20/2024
605,INTJ,3/20/2024
606,HBNB,3/11/2024
607,SERV,3/7/2024
608,RYDE,3/6/2024
609,LGCL,3/5/2024
610,SMXT,2/27/2024
611,PTHS,2/16/2024
612,UMAC,2/14/2024
613,BBOT,2/9/2024
614,MGX,2/9/2024
615,TBBB,2/9/2024
616,TELO,2/9/2024
617,KYTX,2/8/2024
618,PMNT,2/8/2024
619,AHR,2/7/2024
620,ANRO,2/2/2024
621,GUTS,2/2/2024
622,AS,2/1/2024
623,FBLG,1/31/2024
624,AMIX,1/29/2024
625,AVBP,1/26/2024
626,BTSG,1/26/2024
627,HAO,1/26/2024
628,MDCX,1/26/2024
629,CGON,1/25/2024
630,NCDL,1/25/2024
631,YIBO,1/25/2024
632,CORZ,1/24/2024
633,JL,1/24/2024
634,MSDL,1/24/2024
635,SUGP,1/24/2024
636,AFJK,1/22/2024
637,KSPI,1/19/2024
638,CCTG,1/18/2024
639,PSBD,1/18/2024
640,SYNX,1/12/2024
641,PEW,1/11/2024
642,SDHC,1/11/2024
643,ROMA,1/9/2024
644,ANSC,1/3/2024
645,BAYA,12/29/2023
646,NBBK,12/28/2023
647,TIC,12/28/2023
